timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/04/22 03:40:05.133, 0, 26, 1980 MHz, 115.01 W, 0 %, 28661 MiB
2026/04/22 03:40:05.140, 1, 30, 1980 MHz, 120.08 W, 0 %, 28661 MiB
2026/04/22 03:40:05.145, 2, 30, 1980 MHz, 119.07 W, 0 %, 28661 MiB
2026/04/22 03:40:05.150, 3, 29, 1980 MHz, 120.13 W, 0 %, 28133 MiB
2026/04/22 03:40:06.156, 0, 26, 1980 MHz, 114.06 W, 0 %, 28661 MiB
2026/04/22 03:40:06.159, 1, 31, 1980 MHz, 117.64 W, 0 %, 28661 MiB
2026/04/22 03:40:06.162, 2, 30, 1980 MHz, 115.98 W, 0 %, 28661 MiB
2026/04/22 03:40:06.165, 3, 29, 1980 MHz, 120.60 W, 4 %, 28661 MiB
2026/04/22 03:40:07.168, 0, 26, 1980 MHz, 117.93 W, 0 %, 28133 MiB
2026/04/22 03:40:07.173, 1, 31, 1980 MHz, 121.71 W, 0 %, 28133 MiB
2026/04/22 03:40:07.176, 2, 30, 1980 MHz, 119.92 W, 0 %, 28133 MiB
2026/04/22 03:40:07.180, 3, 29, 1980 MHz, 120.51 W, 0 %, 28133 MiB
2026/04/22 03:40:08.183, 0, 26, 1980 MHz, 117.90 W, 0 %, 28133 MiB
2026/04/22 03:40:08.187, 1, 31, 1980 MHz, 121.67 W, 0 %, 28133 MiB
2026/04/22 03:40:08.189, 2, 30, 1980 MHz, 119.96 W, 0 %, 28133 MiB
2026/04/22 03:40:08.192, 3, 29, 1980 MHz, 120.09 W, 0 %, 28133 MiB
2026/04/22 03:40:09.195, 0, 26, 1980 MHz, 117.92 W, 0 %, 28133 MiB
2026/04/22 03:40:09.200, 1, 31, 1980 MHz, 121.60 W, 0 %, 28133 MiB
2026/04/22 03:40:09.204, 2, 30, 1980 MHz, 119.96 W, 0 %, 28133 MiB
2026/04/22 03:40:09.207, 3, 29, 1980 MHz, 120.25 W, 0 %, 28133 MiB
2026/04/22 03:40:10.210, 0, 26, 1980 MHz, 117.96 W, 0 %, 28133 MiB
2026/04/22 03:40:10.214, 1, 31, 1980 MHz, 121.63 W, 0 %, 28133 MiB
2026/04/22 03:40:10.218, 2, 30, 1980 MHz, 120.00 W, 0 %, 28133 MiB
2026/04/22 03:40:10.221, 3, 29, 1980 MHz, 120.52 W, 0 %, 28133 MiB
