params=7,311,756 est_fp16_artifact=13.95MB
train_loader pattern=./data/datasets/fineweb10B_sp1024/fineweb_train_*.bin
val_loader pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens=62021632
training window: start_g=0 target_g=1000000000 run_update_budget=125000000
u=7160 g=57280 loss=0.1006 lr=0.0003 tok/step=32768
u=7180 g=57440 loss=0.0987 lr=0.0003 tok/step=32768
u=7200 g=57600 loss=0.0927 lr=0.0003 tok/step=32768
u=7220 g=57760 loss=0.1654 lr=0.0003 tok/step=32768
u=7240 g=57920 loss=0.0996 lr=0.0003 tok/step=32768
u=7260 g=58080 loss=0.1089 lr=0.0003 tok/step=32768
u=7280 g=58240 loss=0.0839 lr=0.0003 tok/step=32768
u=7300 g=58400 loss=0.0832 lr=0.0003 tok/step=32768
u=7320 g=58560 loss=0.0860 lr=0.0003 tok/step=32768
u=7340 g=58720 loss=0.0888 lr=0.0003 tok/step=32768
u=7360 g=58880 loss=0.0845 lr=0.0003 tok/step=32768
u=7380 g=59040 loss=0.0895 lr=0.0003 tok/step=32768
u=7400 g=59200 loss=0.0879 lr=0.0003 tok/step=32768
u=7420 g=59360 loss=0.1068 lr=0.0003 tok/step=32768
u=7440 g=59520 loss=0.1175 lr=0.0003 tok/step=32768
u=7460 g=59680 loss=0.0942 lr=0.0003 tok/step=32768
u=7480 g=59840 loss=0.0859 lr=0.0003 tok/step=32768
u=7500 g=60000 loss=0.1647 lr=0.0003 tok/step=32768
u=7520 g=60160 loss=0.1104 lr=0.0003 tok/step=32768
u=7540 g=60320 loss=0.0845 lr=0.0003 tok/step=32768
u=7560 g=60480 loss=0.0878 lr=0.0003 tok/step=32768
u=7580 g=60640 loss=0.0916 lr=0.0003 tok/step=32768
u=7600 g=60800 loss=0.0879 lr=0.0003 tok/step=32768
u=7620 g=60960 loss=0.1941 lr=0.0003 tok/step=32768
u=7640 g=61120 loss=0.1290 lr=0.0003 tok/step=32768
u=7660 g=61280 loss=0.2023 lr=0.0003 tok/step=32768
u=7680 g=61440 loss=0.0978 lr=0.0003 tok/step=32768
u=7700 g=61600 loss=0.0879 lr=0.0003 tok/step=32768
u=7720 g=61760 loss=0.0850 lr=0.0003 tok/step=32768
u=7740 g=61920 loss=0.0800 lr=0.0003 tok/step=32768
u=7760 g=62080 loss=0.0861 lr=0.0003 tok/step=32768
u=7780 g=62240 loss=0.0829 lr=0.0003 tok/step=32768
u=7800 g=62400 loss=0.0947 lr=0.0003 tok/step=32768
u=7820 g=62560 loss=0.1071 lr=0.0003 tok/step=32768
u=7840 g=62720 loss=0.0892 lr=0.0003 tok/step=32768
