step,grad_total,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10
820,0.2486,0.0795,0.0656,0.0627,0.0585,0.0616,0.0642,0.0624,0.0623,0.0583,0.0704,0.0961
825,0.2643,0.0779,0.0646,0.061,0.0605,0.0588,0.0614,0.0592,0.0593,0.0586,0.0717,0.1322
830,0.2343,0.0717,0.0638,0.0587,0.0551,0.0526,0.0563,0.0555,0.0575,0.0558,0.0665,0.0959
835,0.2931,0.0984,0.083,0.0782,0.0742,0.0746,0.0777,0.0771,0.0749,0.0694,0.0812,0.1196
840,0.2821,0.0752,0.0666,0.0638,0.062,0.0607,0.0689,0.0698,0.072,0.0661,0.0808,0.1182
845,0.255,0.0627,0.0554,0.0516,0.0505,0.0515,0.0552,0.0578,0.0617,0.0606,0.0726,0.102
850,0.2519,0.0794,0.0688,0.0659,0.0633,0.0618,0.0673,0.0651,0.0636,0.0585,0.068,0.097
855,0.2367,0.0736,0.0649,0.0611,0.0581,0.0557,0.0608,0.0584,0.058,0.0537,0.0652,0.1063
860,0.2642,0.0768,0.0657,0.0619,0.0603,0.0627,0.0627,0.0589,0.0585,0.0566,0.0698,0.1236
865,0.2704,0.08,0.0676,0.0626,0.0577,0.0541,0.0592,0.0585,0.0613,0.0609,0.0749,0.1323
870,0.2696,0.0782,0.0719,0.0692,0.0677,0.0651,0.0731,0.0667,0.0636,0.0592,0.0702,0.1005
875,0.2473,0.0695,0.0607,0.0584,0.0564,0.0547,0.0611,0.06,0.058,0.0535,0.0655,0.1079
880,0.2427,0.076,0.0677,0.0647,0.0606,0.0581,0.061,0.0595,0.0597,0.0563,0.0685,0.1168
885,0.2625,0.07,0.0632,0.0587,0.0556,0.0531,0.0601,0.0582,0.0601,0.0569,0.0716,0.1114
890,0.2784,0.0789,0.0687,0.0655,0.0629,0.0606,0.0694,0.0687,0.0664,0.0619,0.0749,0.1176
895,0.2717,0.0834,0.0706,0.0675,0.0671,0.0655,0.0678,0.0642,0.0641,0.0612,0.0736,0.124
900,0.2332,0.0742,0.0636,0.0615,0.0601,0.0589,0.0637,0.0615,0.0588,0.0539,0.0648,0.0941
905,0.258,0.074,0.0665,0.0644,0.0619,0.0595,0.0664,0.0646,0.0636,0.0591,0.0714,0.1082
910,0.2685,0.0788,0.0685,0.0658,0.0624,0.06,0.0667,0.0659,0.0663,0.06,0.0727,0.1167
915,0.2157,0.0662,0.0611,0.0583,0.0569,0.0564,0.0582,0.0551,0.0509,0.047,0.0559,0.087
920,0.2784,0.069,0.0609,0.0594,0.0583,0.0582,0.0612,0.0622,0.0667,0.0618,0.0786,0.1378
925,0.2174,0.0617,0.0566,0.0534,0.0516,0.0476,0.0521,0.0518,0.0525,0.0485,0.059,0.0839
930,0.2491,0.0717,0.0636,0.0614,0.0594,0.0555,0.0633,0.06,0.057,0.0542,0.0641,0.1106
935,0.247,0.0669,0.0595,0.0561,0.0549,0.0527,0.0588,0.0562,0.0565,0.0529,0.0662,0.1058
940,0.2276,0.0646,0.057,0.056,0.0545,0.0537,0.0561,0.0557,0.0565,0.0541,0.0658,0.1158
945,0.2274,0.0636,0.0573,0.0543,0.0522,0.0504,0.0547,0.0518,0.0508,0.0472,0.0575,0.0915
950,0.2595,0.076,0.0652,0.0611,0.0588,0.0594,0.0616,0.0593,0.0587,0.0545,0.0671,0.1137
955,0.2543,0.0719,0.0625,0.0594,0.0579,0.0545,0.062,0.0603,0.0618,0.057,0.068,0.1032
960,0.2438,0.0676,0.0612,0.0571,0.0549,0.0542,0.0596,0.0597,0.0605,0.0553,0.0667,0.0943
965,0.2504,0.0684,0.0613,0.0592,0.055,0.0557,0.0592,0.0584,0.0601,0.0551,0.0673,0.1115
970,0.2476,0.0658,0.0596,0.0579,0.0565,0.0547,0.061,0.0586,0.0588,0.054,0.0649,0.1066
975,0.2437,0.0668,0.0603,0.0591,0.059,0.0598,0.0642,0.0604,0.0578,0.0545,0.0642,0.0993
980,0.2457,0.0682,0.0609,0.0591,0.0571,0.0551,0.0628,0.0596,0.0576,0.0535,0.067,0.099
985,0.2512,0.0672,0.0608,0.0596,0.0567,0.0552,0.0576,0.0571,0.0567,0.0524,0.0663,0.1325
990,0.2491,0.071,0.0664,0.063,0.0598,0.0567,0.0626,0.06,0.0586,0.0532,0.0649,0.1083
995,0.2372,0.0736,0.063,0.0604,0.0567,0.0586,0.0626,0.0601,0.0592,0.0529,0.0645,0.0896
1000,0.229,0.066,0.0596,0.0569,0.055,0.0511,0.0578,0.0557,0.0547,0.049,0.0575,0.0856
1005,0.2455,0.0571,0.0503,0.0482,0.0471,0.0459,0.0518,0.0539,0.0582,0.0535,0.065,0.1069
1010,0.2198,0.0649,0.0596,0.058,0.0575,0.0563,0.0587,0.056,0.0534,0.0496,0.0593,0.0933
1015,0.2644,0.0696,0.0615,0.0577,0.0549,0.0548,0.0604,0.0595,0.0575,0.0559,0.0664,0.1272
1020,0.22,0.0649,0.0555,0.0535,0.0515,0.0568,0.0569,0.0553,0.0565,0.0518,0.0631,0.1006
1025,0.215,0.0591,0.0549,0.0531,0.0506,0.0486,0.0553,0.0531,0.0521,0.0482,0.0582,0.0935
1030,0.224,0.0614,0.057,0.0542,0.0514,0.0512,0.059,0.0564,0.056,0.0521,0.0621,0.0991
1035,0.2483,0.0676,0.0593,0.0569,0.0517,0.0485,0.0552,0.0527,0.0531,0.0519,0.0634,0.1205
1040,0.2692,0.0749,0.0671,0.0661,0.0616,0.0593,0.067,0.0649,0.0631,0.0592,0.0729,0.1116
1045,0.2467,0.0574,0.0525,0.0509,0.0479,0.0462,0.0536,0.0556,0.0582,0.0541,0.0655,0.1054
1050,0.2596,0.0568,0.0537,0.054,0.0545,0.0532,0.0621,0.0619,0.0633,0.0545,0.0663,0.1095
1055,0.2203,0.0638,0.059,0.0557,0.052,0.0497,0.0552,0.0548,0.0527,0.047,0.058,0.0906
1060,0.2704,0.0655,0.0594,0.0597,0.0564,0.0553,0.0624,0.0609,0.0622,0.0555,0.0679,0.1155
1065,0.2246,0.0611,0.0565,0.0548,0.0528,0.0509,0.0609,0.056,0.0524,0.047,0.0561,0.0882
1070,0.2196,0.0633,0.0598,0.0595,0.0568,0.0553,0.0623,0.0568,0.0544,0.0503,0.0589,0.0893
1075,0.2643,0.0689,0.0605,0.0592,0.0579,0.0566,0.059,0.0584,0.0618,0.0587,0.0731,0.1178
1080,0.2214,0.0644,0.0575,0.0548,0.0514,0.0488,0.0539,0.0532,0.0529,0.0488,0.0617,0.1012
1085,0.2182,0.0495,0.0465,0.0453,0.0447,0.0448,0.0499,0.0493,0.0489,0.0453,0.0549,0.097
1090,0.2542,0.0658,0.0579,0.0556,0.0514,0.0477,0.055,0.0536,0.0545,0.0504,0.0641,0.1118
1095,0.1998,0.0554,0.0515,0.0506,0.0481,0.047,0.0512,0.0505,0.0505,0.0468,0.0575,0.0834
1100,0.2448,0.0623,0.0575,0.0557,0.0531,0.0532,0.0593,0.0597,0.0607,0.0587,0.0687,0.1099
