step,wallclock_s,step_time_ms,fwd_us,bwd_us,opt_us,dataloader_us,active_bytes,reserved_bytes,num_alloc_retries,num_device_alloc,num_device_free
227,6936848.742710,185.364,-1.0,-1.0,-1.0,344.1,683933696,46393196544,0,348,0
228,6936848.927503,184.792,-1.0,-1.0,-1.0,212.3,683933696,46393196544,0,348,0
229,6936849.114232,186.729,-1.0,-1.0,-1.0,345.3,683933696,46393196544,0,348,0
230,6936849.299043,184.811,-1.0,-1.0,-1.0,486.8,683933696,46393196544,0,348,0
231,6936849.483023,183.980,-1.0,-1.0,-1.0,319.4,683933696,46393196544,0,348,0
232,6936849.674003,190.980,-1.0,-1.0,-1.0,209.0,683933696,46393196544,0,348,0
233,6936849.859111,185.108,-1.0,-1.0,-1.0,1243.3,683933696,46393196544,0,348,0
234,6936850.044708,185.597,-1.0,-1.0,-1.0,246.2,683933696,46393196544,0,348,0
235,6936850.231776,187.068,-1.0,-1.0,-1.0,194.1,683933696,46393196544,0,348,0
236,6936850.416793,185.017,-1.0,-1.0,-1.0,210.2,683933696,46393196544,0,348,0
237,6936850.604139,187.346,-1.0,-1.0,-1.0,227.1,683933696,46393196544,0,348,0
238,6936850.793605,189.465,-1.0,-1.0,-1.0,234.3,683933696,46393196544,0,348,0
239,6936850.977057,183.452,-1.0,-1.0,-1.0,237.1,683933696,46393196544,0,348,0
240,6936851.163229,186.172,-1.0,-1.0,-1.0,198.3,683933696,46393196544,0,348,0
241,6936851.350103,186.874,-1.0,-1.0,-1.0,216.2,683933696,46393196544,0,348,0
242,6936851.538016,187.913,-1.0,-1.0,-1.0,214.3,683933696,46393196544,0,348,0
243,6936851.722296,184.280,-1.0,-1.0,-1.0,232.7,683933696,46393196544,0,348,0
244,6936851.909198,186.902,-1.0,-1.0,-1.0,212.7,683933696,46393196544,0,348,0
245,6936852.095755,186.557,-1.0,-1.0,-1.0,441.3,683933696,46393196544,0,348,0
246,6936852.279798,184.043,-1.0,-1.0,-1.0,218.5,683933696,46393196544,0,348,0
247,6936852.464926,185.128,-1.0,-1.0,-1.0,218.9,683933696,46393196544,0,348,0
248,6936852.648707,183.781,-1.0,-1.0,-1.0,407.9,683933696,46393196544,0,348,0
249,6936852.834374,185.668,-1.0,-1.0,-1.0,358.0,683933696,46393196544,0,348,0
250,6936853.019206,184.832,-1.0,-1.0,-1.0,196.0,683933696,46393196544,0,348,0
251,6936853.204656,185.450,-1.0,-1.0,-1.0,200.6,683933696,46393196544,0,348,0
252,6936853.390896,186.239,-1.0,-1.0,-1.0,201.0,683933696,46393196544,0,348,0
253,6936853.577478,186.582,-1.0,-1.0,-1.0,199.2,683933696,46393196544,0,348,0
254,6936853.763356,185.878,-1.0,-1.0,-1.0,213.0,683933696,46393196544,0,348,0
255,6936854.076436,313.080,-1.0,-1.0,-1.0,126602.3,683933696,46393196544,0,348,0
256,6936854.280389,203.953,-1.0,-1.0,-1.0,245.5,683933696,46393196544,0,348,0
257,6936854.463483,183.095,-1.0,-1.0,-1.0,588.8,683933696,46393196544,0,348,0
258,6936854.647496,184.013,-1.0,-1.0,-1.0,733.3,683933696,46393196544,0,348,0
259,6936854.833499,186.003,-1.0,-1.0,-1.0,321.3,683933696,46393196544,0,348,0
260,6936855.021025,187.526,-1.0,-1.0,-1.0,198.6,683933696,46393196544,0,348,0
261,6936855.208860,187.834,-1.0,-1.0,-1.0,265.5,683933696,46393196544,0,348,0
262,6936855.393016,184.156,-1.0,-1.0,-1.0,227.4,683933696,46393196544,0,348,0
263,6936855.578643,185.627,-1.0,-1.0,-1.0,196.4,683933696,46393196544,0,348,0
264,6936855.762812,184.169,-1.0,-1.0,-1.0,542.2,683933696,46393196544,0,348,0
265,6936855.950876,188.064,-1.0,-1.0,-1.0,212.8,683933696,46393196544,0,348,0
266,6936856.137300,186.424,-1.0,-1.0,-1.0,549.2,683933696,46393196544,0,348,0
267,6936856.321910,184.609,-1.0,-1.0,-1.0,233.7,683933696,46393196544,0,348,0
268,6936856.506177,184.268,-1.0,-1.0,-1.0,176.5,683933696,46393196544,0,348,0
269,6936856.691739,185.562,-1.0,-1.0,-1.0,168.8,683933696,46393196544,0,348,0
270,6936856.877244,185.505,-1.0,-1.0,-1.0,178.8,683933696,46393196544,0,348,0
271,6936857.063690,186.446,-1.0,-1.0,-1.0,243.8,683933696,46393196544,0,348,0
272,6936857.254007,190.316,-1.0,-1.0,-1.0,177.0,683933696,46393196544,0,348,0
273,6936857.438134,184.127,-1.0,-1.0,-1.0,182.3,683933696,46393196544,0,348,0
274,6936857.622137,184.003,-1.0,-1.0,-1.0,171.5,683933696,46393196544,0,348,0
275,6936857.809451,187.314,-1.0,-1.0,-1.0,181.5,683933696,46393196544,0,348,0
276,6936857.997060,187.609,-1.0,-1.0,-1.0,178.1,683933696,46393196544,0,348,0
277,6936858.182308,185.248,-1.0,-1.0,-1.0,292.3,683933696,46393196544,0,348,0
278,6936858.370253,187.945,-1.0,-1.0,-1.0,175.7,683933696,46393196544,0,348,0
279,6936858.557226,186.973,-1.0,-1.0,-1.0,174.2,683933696,46393196544,0,348,0
280,6936858.740677,183.452,-1.0,-1.0,-1.0,180.7,683933696,46393196544,0,348,0
281,6936858.927977,187.300,-1.0,-1.0,-1.0,173.9,683933696,46393196544,0,348,0
282,6936859.114838,186.861,-1.0,-1.0,-1.0,172.4,683933696,46393196544,0,348,0
283,6936859.299369,184.531,-1.0,-1.0,-1.0,171.2,683933696,46393196544,0,348,0
284,6936859.483962,184.593,-1.0,-1.0,-1.0,171.7,683933696,46393196544,0,348,0
285,6936859.668967,185.005,-1.0,-1.0,-1.0,170.2,683933696,46393196544,0,348,0
286,6936859.854925,185.959,-1.0,-1.0,-1.0,173.9,683933696,46393196544,0,348,0
287,6936860.039404,184.479,-1.0,-1.0,-1.0,176.2,683933696,46393196544,0,348,0
288,6936860.226703,187.298,-1.0,-1.0,-1.0,183.9,683933696,46393196544,0,348,0
289,6936860.413921,187.218,-1.0,-1.0,-1.0,172.9,683933696,46393196544,0,348,0
